,date,temp_min,temp_max,effectiveRain,irrigation,sowingdays,tempoIrriga,cadRoot,etc,eto_pm,AFD,ATD,ADD,deficit,aguaComplementar,Capacidade de campo,Umidade de seguranca,Umidade do solo
49,2021-05-01,14.42,21.6,0.0,0.0,244,50.05,45,2.43175,2.74,0,3.73882614639284,3.73882614639284,1.84310286353926,41.0643935301128,100,50,8.308502547539645
50,2021-05-02,12.26,23.09,0.0,0.0,245,50.85,45,3.21275,3.62,0,3.11589689014192,3.11589689014192,2.58982074374908,41.7201085366927,100,50,6.924215311426489
51,2021-05-03,10.54,24.34,0.0,0.0,246,51.52,45,3.292625,3.71,0,2.58778522963798,2.58778522963798,2.76451333949605,42.2760155477495,100,50,5.750633843639955
52,2021-05-04,11.69,24.55,0.0,0.0,247,52.09,45,3.31925,3.74,0,2.14672435699195,2.14672435699195,2.87818912735398,42.7402901505348,100,50,4.770498571093222
53,2021-05-05,11.11,25.52,0.0,0.0,248,52.54,45,3.132875,3.53,0,1.79532890395329,1.79532890395329,2.78147954696134,43.1101801011018,100,50,3.9896197865628666
54,2021-05-06,12.18,26.53,0.0,0.0,249,52.92,45,3.203875,3.61,0,1.4967864813803,1.4967864813803,2.905332577427,43.4244352827576,100,50,3.326192180845111
55,2021-05-07,12.8,26.75,0.0,0.0,250,53.25,45,3.337,3.76,0,1.24073076237411,1.24073076237411,3.08094428099381,43.6939676185536,100,50,2.7571794719424667
56,2021-05-08,13.12,26.05,0.0,0.0,251,53.52,45,3.17725,3.58,0,1.03561595104092,1.03561595104092,2.97213518866681,43.9098779462727,100,50,2.3013687800909333
57,2021-05-09,13.63,24.82,0.0,0.0,252,53.73,45,3.0885,3.48,0,0.867797622729291,0.867797622729291,2.92068167168837,44.0865288181797,100,50,1.9284391616206467
58,2021-05-10,12.24,23.79,0.0,0.0,253,53.91,45,2.99975,3.38,0,0.730060167669134,0.730060167669134,2.86201254493984,44.2315156129799,100,50,1.622355928153631
59,2021-05-11,11.15,23.74,0.0,0.0,254,54.06,45,3.0175,3.4,0,0.613695560747252,0.613695560747252,2.90113539307812,44.3540046728976,100,50,1.363767912771671
60,2021-05-12,10.6,24.31,0.0,0.0,255,54.19,45,3.195,3.6,0,0.511843328832677,0.511843328832677,3.09314776808543,44.4612175485972,100,50,1.1374296196281712
61,2021-05-13,12.52,25.29,0.0,0.0,256,54.28,45,2.671375,3.01,0,0.437160676533106,0.437160676533106,2.59669234770043,44.5398308668073,100,50,0.9714681700735688
62,2021-05-14,13.25,23.92,0.0,0.0,257,54.36,45,2.5915,2.92,0,0.374792352628195,0.374792352628195,2.52913167609509,44.6054817340756,100,50,0.8328718947293222
63,2021-05-15,13.27,23.79,0.0,0.0,258,54.43,45,2.582625,2.91,0,0.32145813219638,0.32145813219638,2.52929077956819,44.6616230187407,100,50,0.7143514048808444
64,2021-05-16,13.03,23.88,0.0,0.0,259,54.49,45,2.64475,2.98,0,0.274900038649013,0.274900038649013,2.59819190645263,44.7106315382642,100,50,0.6108889747755846
65,2021-05-17,13.4,24.71,0.0,0.0,260,54.55,45,2.92875,3.3,0,0.232010404587548,0.232010404587548,2.88586036593854,44.7557785214868,100,50,0.5155786768612178
